expt	cohort	dpi	cause_of_death	acm
Broad prophylactic	saline	170	prion disease	1
Broad prophylactic	saline	171	prion disease	1
Broad prophylactic	saline	171	prion disease	1
Broad prophylactic	saline	172	prion disease	1
Broad prophylactic	saline	172	prion disease	1
Broad prophylactic	control ASO	6	intercurrent	1
Broad prophylactic	control ASO	165	prion disease	1
Broad prophylactic	control ASO	165	prion disease	1
Broad prophylactic	control ASO	165	prion disease	1
Broad prophylactic	control ASO	167	prion disease	1
Broad prophylactic	control ASO	170	prion disease	1
Broad prophylactic	control ASO	170	prion disease	1
Broad prophylactic	control ASO	172	prion disease	1
Broad prophylactic	control ASO	172	prion disease	1
Broad prophylactic	control ASO	178	prion disease	1
Broad prophylactic	control ASO	190	prion disease	1
Broad prophylactic	control ASO	315	never developed disease	0
Broad prophylactic	active ASO 1	0	intercurrent	1
Broad prophylactic	active ASO 1	252	prion disease	1
Broad prophylactic	active ASO 1	263	prion disease	1
Broad prophylactic	active ASO 1	264	prion disease	1
Broad prophylactic	active ASO 1	270	prion disease	1
Broad prophylactic	active ASO 1	270	prion disease	1
Broad prophylactic	active ASO 1	277	prion disease	1
Broad prophylactic	active ASO 1	277	prion disease	1
Broad prophylactic	active ASO 1	277	prion disease	1
Broad prophylactic	active ASO 1	277	prion disease	1
Broad prophylactic	active ASO 1	281	prion disease	1
Broad prophylactic	active ASO 1	287	prion disease	1
Broad prophylactic	active ASO 2	1	intercurrent	1
Broad prophylactic	active ASO 2	287	prion disease	1
Broad prophylactic	active ASO 2	294	prion disease	1
Broad prophylactic	active ASO 2	295	prion disease	1
Broad prophylactic	active ASO 2	299	prion disease	1
Broad prophylactic	active ASO 2	299	prion disease	1
Broad prophylactic	active ASO 2	301	prion disease	1
Broad prophylactic	active ASO 2	301	prion disease	1
Broad prophylactic	active ASO 2	301	prion disease	1
Broad prophylactic	active ASO 2	301	prion disease	1
Broad prophylactic	active ASO 2	303	prion disease	1
Broad prophylactic	active ASO 2	306	prion disease	1
